episode,reward
537,-0.1545895
538,0.04252651
539,3.800567
540,1
541,1
542,0.3574899
543,4.901216
544,1
545,6.077863
546,1.027874
547,0.04653497
548,1
549,1
550,4.687088
551,1
552,2.556333
553,1.036367
554,0.08046116
555,0.1490555
556,1
557,-10.5
558,-1.908716
559,10.14827
560,4.5
561,0.006646283
562,1.000891
563,4.500001
564,1
565,1
566,1
567,1.004266
568,0
569,2.161829
570,0.2355229
571,1
572,1
573,2.112375
574,1
575,0.320345
576,3.426044
577,2.285582
578,1
579,4.126593
580,2.332131
581,1
582,5.97716
583,1
584,1
585,-1.5
586,0
587,1
588,0
589,2.270325
590,1
591,1.000264
592,3.58157
593,3.398683
594,0
595,-0.3540743
596,4.499998
597,1
598,1
599,1
600,3.645004
601,0
602,0
603,4.686681
604,1
605,2.377676
606,1
607,1
608,0.7255812
609,-14.97198
610,4.460663
611,1
612,1.076765
613,1
614,1.005441
615,1.072545
616,0
617,1
618,0.4104083
619,1
620,1
621,1
622,2.564881
623,2.247159
624,3.550872
625,2.221783
626,2.940503
627,4.428974
628,1
629,2.134943
630,0.01683192
631,1
632,0.9796495
633,1
634,4.5
635,1.002882
636,1
637,1
638,5.610891
639,-14.97988
640,9.499999
641,1.000873
642,1
643,0
644,0.03174621
645,1
646,1
647,1
648,0.3887627
649,4.728143
650,3.532678
651,1
652,1
653,-1.520097
654,0
655,4.923991
656,1
657,0.03174734
658,0.3209565
659,4.165931
660,1.00658
661,2.664807
662,1
663,1.03244
664,1
665,0.05340304
666,2.795029
667,1
668,0
669,2.751227
670,-14.96338
671,6.28803
672,-0.9855005
673,1.026281
674,0.06221241
675,8.233416
676,1
677,0.029205
678,1.005874
679,3.628098
680,-0.1431422
681,1
682,0.07741767
683,3.735685
684,1
685,1
686,0.03338785
687,2.17907
688,1
689,-12.10361
690,1
691,10.5
692,4.06574
693,0
694,1.579194
695,5.5
696,1
697,0
698,1
699,1.664626
700,1
701,1
702,6.20171
703,-0.9502895
704,1.027419
705,0.009907261
706,2.275275
707,1.033576
708,-11.9088
709,1.001934
710,1.001923
711,0
712,4.022178
713,1.001078
714,1
715,0.004406262
716,1.480227
717,4.808803
718,1.037323
719,1
720,0.0424806
721,5.128233
722,0.7116113
723,1
724,1
725,1
726,1
727,1
728,-14.69977
729,0.3256487
730,1
731,-14.5
732,0
733,6.052095
734,3.685601
735,1
736,0.06874491
737,1.359542
738,1
739,1
740,1
741,2.215726
742,1
743,1
744,0
745,0
746,1
747,2.31901
748,1
749,6.782244
750,1
751,0.01229762
752,4.746506
753,2.925186
754,1.779177
755,1
756,0
757,1
758,1
759,1
760,-0.9928156
761,1.002907
762,1.112465
763,9.170815
764,1
765,1
766,2.458323
767,0.04334249
768,5.033347
769,4.700172
770,3.534976
771,1
772,1
773,3.521279
774,1
775,1.687671
776,5.499998
777,1.001461
778,-15
779,4.385306
780,1
781,3.295652
782,1
783,1
784,1
785,1
786,-14.17033
787,1
788,0.009146273
789,1
790,1.371037
791,1.306119
792,1
793,1.040372
794,1
795,1.337637
796,1
797,0.05177484
798,0
799,-8.499999
800,2.167244
801,1
802,0.7042177
803,1.05822
804,-14.95347
805,2.197497
806,1
807,2.5
808,1
809,5
810,1
811,1.146314
812,5
813,5
814,1.5
815,-0.9909256
816,4.621485
817,4.89277
818,-14.99027
819,1
820,0.07531151
821,2.254457
822,0.2459511
823,1
824,1
825,7.86088
826,1
827,1
828,1.060536
829,1
830,1
831,2.397902
832,1.030835
833,1
834,1
835,0.0584127
836,1
837,1
838,6.01427
839,1
840,0.03577334
841,1
842,1
843,0
844,1
845,2.48629
846,2.551407
847,1
848,1
849,1
850,-14.7724
851,1
852,1.124821
853,1.409731
854,0.4813702
855,-0.6830437
856,0.5529147
857,4.997144
858,1.099644
859,1
860,2.23873
