episode,reward
1,2.931784
2,4.498496
3,7.498849
4,5.115687
5,6.132983
6,1.055811
7,3.554358
8,4.498148
9,1.972246
10,5.128899
11,7.125983
12,4.095515
13,8.212087
14,-9.500942
15,2.116325
16,6.498402
17,1.131124
18,8.499183
19,3.598447
20,6.202829
21,7.498484
22,5.499199
