episode,reward
1,11.32358
2,9.245821
3,-7.500639
4,4.330458
5,-6.500499
6,3.464244
7,4.499233
8,3.52669
9,4.499645
10,3.499412
11,3.282334
12,9.266971
13,8.359498
14,-6.500527
15,4.892425
16,5.499388
17,3.561009
18,2.9288
19,8.499306
20,1.375205
21,7.499366
22,7.499332
23,3.519502
24,8.292933
25,4.499412
